area,predicted_iou,point_coords,index,scale (um/px),perimeter(um),area(um),circularity,centroid_x,centroid_y,droplet,x,y,w,h
5741,0.9948968291282654,"[742.5, 151.875]",44,6.0755,46.52037805769632,155.5333393237555,1.1072689214754272,745,111,True,700,68,88,87
4687,0.9948471188545227,"[1102.5, 320.625]",45,6.0755,42.09768739750077,126.97870778791884,1.1106461375294063,1141,305,True,1103,266,77,79
6008,0.9948224425315857,"[337.5, 455.625]",46,6.0755,47.32480595390666,162.7668180904238,1.094969308292791,305,435,True,261,393,89,82
5344,0.9946760535240173,"[1282.5, 354.375]",47,6.0755,44.7312154825622,144.7779420564622,1.0997884028232656,1247,330,True,1206,290,82,82
4713,0.9946154356002808,"[922.5, 1029.375]",49,6.0755,42.074292493488514,127.68309148804384,1.1032917994172826,893,1001,True,854,965,79,74
6263,0.9944884181022644,"[607.5, 489.375]",50,6.0755,48.681507521858435,169.67519668780363,1.111475289495847,646,495,True,601,452,87,89
4494,0.994466245174408,"[202.5, 118.125]",51,6.0755,41.08671943461117,121.75001339852939,1.1033773159943194,233,145,True,197,109,75,75
5919,0.9944613575935364,"[1012.5, 523.125]",52,6.0755,46.92259196655886,160.35565850153438,1.0926217332544814,1045,507,True,1002,465,87,86
5655,0.9944478273391724,"[1012.5, 354.375]",53,6.0755,46.071374281945324,153.20345477718817,1.102513488598434,987,323,True,944,281,86,85
5470,0.9943615794181824,"[337.5, 388.125]",54,6.0755,45.56589037898578,148.19149383399105,1.1149273831471305,381,388,True,340,347,84,84
5784,0.9943557381629944,"[967.5, 1029.375]",55,6.0755,46.59340097309483,156.69828159703917,1.102490169884113,978,984,True,938,939,82,90
6226,0.9943282008171082,"[652.5, 624.375]",56,6.0755,48.39225402438349,168.67280449916422,1.1048333431921418,622,654,True,580,609,85,91
4475,0.9942067265510559,"[1192.5, 219.375]",58,6.0755,40.973758944738314,121.23527146382266,1.1019775904503368,1205,256,True,1167,220,76,76
4843,0.9940943121910095,"[1057.5, 320.625]",59,6.0755,42.8524872038396,131.20500998866885,1.1137604326975479,1063,279,True,1024,239,77,81
