area,predicted_iou,point_coords,scale (um/px),index,Red,Green,Blue,perimeter(um),area(um),circularity,centroid_x,centroid_y,droplet,x,y,w,h
4040,0.9772697687149048,"[157.5, 590.625]",6.0755,14,0.0,0.0,127.5,39.2079911951312,109.45039032711587,1.1176916468748317,159,564,True,122,529,72,72
4507,0.9746307730674744,"[157.5, 826.875]",6.0755,15,7.362890247807301,248.6617175688901,119.80851746730167,41.41591070277359,122.10220524859189,1.1178951178779952,143,810,True,105,774,77,74
4944,0.9762898087501526,"[157.5, 860.625]",6.0755,16,143.30041507450545,252.6992627532681,30.202141276725953,43.238158540346625,133.94126974684676,1.110734095977346,149,890,True,109,853,82,75
4593,0.9806666374206543,"[157.5, 995.625]",6.0755,17,152.57523125386558,208.4156215497714,251.8870625559644,41.26301263842639,124.4320897951592,1.0888789615001429,144,970,True,105,936,79,73
4457,0.9865449666976929,"[202.5, 151.875]",6.0755,18,127.5,0.0,0.0,40.797466251077246,120.74762120988996,1.0969275292084923,233,146,True,196,109,75,75
4843,0.9848916530609131,"[202.5, 286.875]",6.0755,19,127.5,0.0,255.0,42.73267450003789,131.20500998866885,1.1075411390630836,231,302,True,193,265,79,76
4464,0.9760549068450928,"[202.5, 658.125]",6.0755,20,238.13837226176065,47.15860521738107,132.82276835789486,41.05363407406569,120.93726297530823,1.1090042599857444,184,642,True,145,604,80,74
6402,0.9790894985198975,"[202.5, 725.625]",6.0755,21,250.18046231940363,209.69696350450783,122.20440777831767,49.941791329263374,173.440940315395,1.144370748038666,167,729,True,120,685,93,88
5516,0.9823429584503174,"[202.5, 826.875]",6.0755,22,16.30845555261063,99.07201279837481,152.2528144286917,45.60582803194537,149.43771114959682,1.1075685608650727,222,839,True,180,796,83,86
4965,0.9807490706443787,"[202.5, 961.875]",6.0755,23,188.74411543311916,127.2550055085936,97.1927171160915,43.06186551312323,134.51019504310156,1.097035329603308,224,929,True,184,891,79,77
865,0.9089677929878235,"[202.5, 995.625]",6.0755,24,45.559030235831955,178.05722541388562,189.42811274168042,18.953884945868584,23.434303869543374,1.2199290100120208,201,983,False,186,966,32,37
4101,0.9831433296203613,"[247.5, 84.375]",6.0755,25,62.8245631288564,55.41669403187112,215.24699957872298,38.99176088775316,111.10298285433223,1.0889554536962982,270,77,True,235,41,69,72
4860,0.9778677821159363,"[247.5, 354.375]",6.0755,26,196.4844810990222,64.41326333017949,22.421294575688325,42.7326745196592,131.6655685618275,1.1036670249811238,228,389,True,191,351,77,78
4842,0.9796345233917236,"[247.5, 489.375]",6.0755,27,58.00858413076653,67.28714963865244,13.610523322667756,42.67619415699489,131.17791830789483,1.104843502256186,211,499,True,172,461,77,79
4436,0.9814966917037964,"[247.5, 556.875]",6.0755,28,70.50651673686058,191.70815687955943,21.840173284036105,40.86079823903101,120.17869591363515,1.1055447894449792,238,581,True,200,543,77,77
5436,0.9844262599945068,"[247.5, 658.125]",6.0755,29,192.5115460610684,187.964151698427,28.399238242721445,45.52595298110325,147.27037668767372,1.11993503096522,250,699,True,210,656,81,86
4952,0.9773293733596802,"[247.5, 995.625]",6.0755,30,175.37716495189835,253.86779793794358,147.75972917308948,43.590744280852405,134.15800319303906,1.1270991417118559,253,1006,True,213,967,82,80
5171,0.9831074476242065,"[292.5, 219.375]",6.0755,31,226.0611819491752,72.77871811071998,242.56491726024015,44.05629072706549,140.09108128255352,1.1025429266451283,263,222,True,222,182,83,81
4745,0.9805598258972168,"[292.5, 320.625]",6.0755,32,89.45139252099318,125.90581696620053,94.1767961738401,42.48335871438648,128.55002527281306,1.117263622787232,304,347,True,264,309,81,75
4793,0.9796414375305176,"[292.5, 556.875]",6.0755,33,177.69748214539842,15.486102562403222,186.91212539062755,42.71613192768237,129.85042594996693,1.11822860008719,293,519,True,253,483,79,78
3975,0.9739640951156616,"[292.5, 658.125]",6.0755,34,87.18192605908573,239.82847805328169,173.59031189164224,38.50967161410748,107.68943107680336,1.095864059662708,298,630,True,263,594,69,72
4172,0.9787807464599609,"[292.5, 759.375]",6.0755,35,234.5643054314333,190.94754456231098,234.57107309235022,39.56057713185011,113.02649218928896,1.1018820898334358,277,777,True,240,740,73,75
5599,0.9853923320770264,"[337.5, 50.625]",6.0755,36,180.652720101869,0.7263060125902276,68.85474955616529,45.81520626274374,151.68632065384202,1.1011919074214938,354,85,True,314,42,81,86
4654,0.9793200492858887,"[337.5, 151.875]",6.0755,37,10.496434520849773,178.15027502580435,106.67250983999197,41.921394448762626,126.08468232237556,1.109172894927397,333,173,True,296,134,75,79
4375,0.9793756008148193,"[337.5, 286.875]",6.0755,38,8.030116685038907,59.06492487912757,84.27432364578348,40.93382154685579,118.5261033864188,1.1249694086781374,332,271,True,294,233,75,76
5844,0.9832891225814819,"[337.5, 421.875]",6.0755,39,50.88386817409444,1.9493768440030728,63.6416125928539,46.80277945897028,158.32378244348146,1.1009998742335063,305,435,True,260,394,89,81
4386,0.9808576703071594,"[337.5, 590.625]",6.0755,40,171.00074183536793,147.68058549236508,180.26486594126402,40.87734092911441,118.82411187493322,1.1190534575689177,354,568,True,317,529,73,79
4273,0.9826948642730713,"[337.5, 691.875]",6.0755,41,79.35278023307912,247.2849946378638,77.72610165104265,40.31537705591683,115.76275194746687,1.1172818543296572,330,715,True,293,678,75,75
