index,area,x,y,w,h,predicted_iou,point_coords
169,4335,362,190,76,72,0.9949689507484436,"[[427.5, 253.125]]"
170,4332,373,688,75,75,0.9871215224266052,"[[427.5, 759.375]]"
171,4320,926,833,74,77,0.9829961061477661,"[[967.5, 894.375]]"
172,4309,1321,835,74,75,0.9866371154785156,"[[1327.5, 860.625]]"
173,4289,444,852,75,73,0.9852100610733032,"[[472.5, 860.625]]"
174,4284,675,209,73,74,0.9909736514091492,"[[742.5, 253.125]]"
175,4283,824,184,73,73,0.9918602108955383,"[[877.5, 185.625]]"
176,4274,444,304,75,73,0.9911280274391174,"[[517.5, 354.375]]"
177,4242,120,529,75,73,0.9791069030761719,"[[157.5, 590.625]]"
178,4227,1026,556,73,74,0.9856717586517334,"[[1057.5, 556.875]]"
179,4225,505,630,69,76,0.9873455762863159,"[[562.5, 691.875]]"
180,4211,156,40,70,75,0.9907587170600891,"[[202.5, 50.625]]"
181,4207,375,112,70,72,0.9888224005699158,"[[427.5, 118.125]]"
182,4205,738,738,72,71,0.9865649938583374,"[[787.5, 759.375]]"
183,4159,992,800,73,70,0.9850885272026062,"[[1012.5, 860.625]]"
184,4156,261,592,73,76,0.9818285703659058,"[[292.5, 658.125]]"
185,4148,504,355,70,75,0.9905819892883301,"[[517.5, 421.875]]"
186,4114,885,232,72,74,0.9857734441757202,"[[922.5, 286.875]]"
187,4093,35,352,78,74,0.9750341176986694,"[[67.5, 421.875]]"
188,4080,699,282,72,71,0.9933752417564392,"[[742.5, 354.375]]"
189,4078,241,741,72,73,0.9831966161727905,"[[247.5, 793.125]]"
190,4072,234,41,70,72,0.9900519251823425,"[[292.5, 50.625]]"
191,4021,878,893,73,70,0.9833207726478577,"[[922.5, 961.875]]"
192,4012,1234,88,70,75,0.9909741282463074,"[[1282.5, 151.875]]"
193,3976,584,775,72,72,0.9843339323997498,"[[652.5, 793.125]]"
194,3957,1264,19,71,72,0.9930545687675476,"[[1282.5, 84.375]]"
195,3825,504,1019,75,59,0.993625819683075,"[[562.5, 1029.375]]"
196,3008,1049,1033,80,45,0.9855307340621948,"[[1057.5, 1063.125]]"
197,2705,800,1033,73,45,0.9842193722724915,"[[832.5, 1063.125]]"
198,2698,91,389,69,53,0.9533476233482361,"[[112.5, 421.875]]"
199,2601,968,1037,72,41,0.9826685786247253,"[[967.5, 1063.125]]"
200,2579,584,1037,78,41,0.9858466982841492,"[[652.5, 1063.125]]"
201,2497,882,1039,76,39,0.9830188155174255,"[[922.5, 1063.125]]"
202,2439,1210,656,65,59,0.9396081566810608,"[[1237.5, 691.875]]"
203,2425,838,652,62,56,0.9547789096832275,"[[877.5, 691.875]]"
