area,predicted_iou,point_coords,scale (um/px),index,Red,Green,Blue,perimeter(um),area(um),circularity,centroid_x,centroid_y,droplet,x,y,w,h
5944,0.9862971901893616,"[652.5, 253.125]",6.0755,86,255.0,0.0,127.5,47.1154277427296,161.03295052088532,1.0969874577401952,625,237,True,583,192,83,90
4322,0.980160653591156,"[652.5, 354.375]",6.0755,87,3.7103148482309463,57.40730413969238,96.8434967043048,40.44488015738782,117.09024430539475,1.1117228436341076,653,327,True,617,291,72,74
6263,0.9887341260910034,"[652.5, 455.625]",6.0755,88,144.12521622415832,45.10261872675044,37.444573491812484,48.58508987903948,169.67519668780363,1.1070769169867614,646,495,True,601,452,87,89
5709,0.9848408699035645,"[652.5, 725.625]",6.0755,89,121.11583745918732,254.3396168043302,44.58493597931695,46.59340097309483,154.66640553898625,1.1169737506760749,662,738,True,620,695,85,87
4460,0.9796444773674011,"[652.5, 1029.375]",6.0755,90,70.7070303372276,190.4777564697551,8.90058474650116,40.814008764568825,120.82889625221208,1.0970788294770237,685,1020,True,648,982,71,77
4385,0.9858234524726868,"[697.5, 556.875]",6.0755,91,115.8571507611475,157.36840627777605,60.72699674332311,40.541298035662535,118.79702019415919,1.1009811615219471,673,580,True,637,543,70,76
4435,0.9777429103851318,"[697.5, 793.125]",6.0755,92,145.1224619403014,78.647310934686,195.42597016692866,40.89388379578963,120.15160423286112,1.107585545413544,702,812,True,665,774,74,76
4764,0.981864333152771,"[697.5, 860.625]",6.0755,93,1.7605770471653819,164.56836310968308,136.83891979454782,42.26712801458218,129.0647672075198,1.101508650027782,671,888,True,635,850,75,78
5508,0.9857231378555298,"[742.5, 151.875]",6.0755,94,243.77322786414445,241.55197529324377,188.89942357069978,45.589285184891466,149.22097770340451,1.1083727001080286,744,111,True,701,69,85,86
5437,0.9882590770721436,"[742.5, 185.625]",6.0755,95,207.3117156746845,178.25412895135457,76.53791240696063,45.37305489713474,147.29746836844777,1.1122204976092867,776,195,True,734,154,84,84
4073,0.9838749170303345,"[742.5, 253.125]",6.0755,96,189.02671952142802,6.8119869644137125,2.930070813758081,39.168053718763424,110.34441579265915,1.106378581981939,710,246,True,677,210,71,72
3891,0.982864499092102,"[742.5, 286.875]",6.0755,97,136.6902375205924,156.44205286870098,169.96825947258566,38.56615185904391,105.41372989178413,1.1228081842694446,734,317,True,700,282,70,70
5767,0.9865684509277344,"[742.5, 388.125]",6.0755,98,64.4765678805502,51.41168790287641,184.69789417966527,46.3771706657168,156.2377230238805,1.0955008910528714,709,398,True,669,355,83,86
4269,0.9810923337936401,"[742.5, 455.625]",6.0755,99,200.7034999044837,254.14873713386254,5.558144429999626,39.922853525102255,115.65438522437071,1.0966579272039754,731,493,True,699,455,69,76
6008,0.9850520491600037,"[742.5, 691.875]",6.0755,100,180.13898690325658,130.87779674940268,100.20747987030273,47.990040233248834,162.7668180904238,1.125969146982945,717,660,True,674,615,86,92
4201,0.9797095656394958,"[742.5, 759.375]",6.0755,101,241.5243555887668,99.85716827989054,160.14893639942764,39.55372497678519,113.81215093173608,1.0938966285912404,773,774,True,737,739,72,71
5251,0.9784889221191406,"[742.5, 961.875]",6.0755,102,253.82166263283793,162.24368755321407,181.16881587762677,44.51498488086446,142.2584157444766,1.1084717478211112,737,941,True,697,901,80,81
6124,0.9806413650512695,"[742.5, 995.625]",6.0755,103,96.32029276230698,3.8033795122882563,114.14360478521878,48.70490242587069,165.9094530602123,1.1377958872630738,769,1025,True,727,980,87,92
