area,predicted_iou,point_coords,scale (um/px),index,Red,Green,Blue,perimeter(um),area(um),circularity,centroid_x,centroid_y,droplet,x,y,w,h
3915,0.9844264984130859,"[562.5, 388.125]",6.0755,72,45.792903406709,119.64170961363654,6.115198538668788,38.85540541538279,106.06393023036105,1.1327271482524657,539,391,True,506,356,67,73
5666,0.9830977916717529,"[562.5, 489.375]",6.0755,73,87.78059283207877,218.3479213416903,222.41443826869508,46.55346345748443,153.5014632657026,1.1235220753601516,554,477,True,512,435,84,87
4225,0.9823670387268066,"[562.5, 658.125]",6.0755,74,120.24041028700327,71.0346559228431,0.3501632076808797,39.92285346623831,114.46235127031301,1.1080787402196868,540,668,True,505,630,68,77
4556,0.9844239950180054,"[562.5, 725.625]",6.0755,75,0.6720837840585786,130.48196723160092,139.9473712555789,41.27955519116059,123.42969760651978,1.0986022616736182,578,740,True,541,702,72,78
5482,0.9847440719604492,"[562.5, 793.125]",6.0755,76,65.5917466719384,9.380389544735037,239.1266879913102,45.333117597358786,148.5165940032795,1.10114960910055,536,818,True,496,775,81,86
4859,0.9812114834785461,"[607.5, 118.125]",6.0755,77,180.67317893004792,152.87725108151878,1.2650318913256442,42.73267455890183,131.63847688105346,1.1038941657254089,603,147,True,565,110,78,77
5604,0.9854879379272461,"[607.5, 388.125]",6.0755,78,159.57012914533,32.951781501220566,63.29346680870126,46.200877560008145,151.8217790577122,1.1188104377663421,620,406,True,578,364,82,85
4626,0.9829617142677307,"[607.5, 590.625]",6.0755,79,77.8638947173842,186.4023568157739,0.5351386754960141,41.89799952512905,125.32611526070248,1.114641305985594,590,568,True,555,529,72,79
6147,0.9851592779159546,"[607.5, 624.375]",6.0755,80,128.0545076508244,155.60268961364943,184.25607973885934,48.142938199489464,166.53256171801516,1.1075316792155157,622,654,True,580,609,85,92
3857,0.9766582250595093,"[607.5, 793.125]",6.0755,81,122.17092322930748,133.860247070876,119.2318280633077,38.276898459675536,104.49261274546681,1.1157786000334706,620,811,True,585,776,70,70
5172,0.9835139513015747,"[607.5, 860.625]",6.0755,82,236.84997456392176,163.82267573419458,57.97228439131601,44.08937622496017,140.11817296332754,1.1039860334097091,588,888,True,547,848,79,81
5205,0.9780731797218323,"[607.5, 995.625]",6.0755,83,127.5,255.0,255.0,44.11277114859374,141.01219842887082,1.0981511842509726,617,974,True,578,933,81,82
4721,0.9853423237800598,"[652.5, 84.375]",6.0755,84,193.49231693193377,15.543305075717639,254.49089188764455,41.97787477218431,127.89982493423615,1.0963799409472836,675,57,True,640,17,72,81
4398,0.982536792755127,"[652.5, 185.625]",6.0755,85,114.79616693846599,37.845570329048954,217.01330907866864,40.87734116457017,119.14921204422168,1.1160001185629649,684,169,True,647,129,74,78
5944,0.9862971901893616,"[652.5, 253.125]",6.0755,86,226.37866448262878,17.704439550788802,74.78518373561359,47.1154277427296,161.03295052088532,1.0969874577401952,625,237,True,583,192,83,90
4322,0.980160653591156,"[652.5, 354.375]",6.0755,87,9.044045263996477,164.235257915907,68.55036561222786,40.44488015738782,117.09024430539475,1.1117228436341076,653,327,True,617,291,72,74
6263,0.9887341260910034,"[652.5, 455.625]",6.0755,88,254.09081080037984,21.210747781555618,186.05788540893425,48.58508987903948,169.67519668780363,1.1070769169867614,646,495,True,601,452,87,89
5709,0.9848408699035645,"[652.5, 725.625]",6.0755,89,4.720944454802203,1.3294929462588105,147.43964352631207,46.59340097309483,154.66640553898625,1.1169737506760749,662,738,True,620,695,85,87
4460,0.9796444773674011,"[652.5, 1029.375]",6.0755,90,170.7126053409443,167.61471562568943,237.36028548195262,40.814008764568825,120.82889625221208,1.0970788294770237,685,1020,True,648,982,71,77
4385,0.9858234524726868,"[697.5, 556.875]",6.0755,91,103.37485089274962,57.67043675590871,121.13783171677454,40.541298035662535,118.79702019415919,1.1009811615219471,673,580,True,637,543,70,76
4435,0.9777429103851318,"[697.5, 793.125]",6.0755,92,78.56326239747594,246.00553140186585,48.04471023361126,40.89388379578963,120.15160423286112,1.107585545413544,702,812,True,665,774,74,76
4764,0.981864333152771,"[697.5, 860.625]",6.0755,93,208.03559142561167,65.09217064846179,75.44731253430432,42.26712801458218,129.0647672075198,1.101508650027782,671,888,True,635,850,75,78
